symbol,recommended_tier,in_core25_pinned,in_scanner_24h,latest_status,seen_delisted,latest_is_delisted_at_asof,statuses,listed_at,delisted_at,first_seen_ts,last_seen_ts,alive_from,alive_to,alive_days_in_18mo_window,turnover_24h,last_price,base_coin,quote_coin,contract_type,tick_size,qty_step,min_notional,latest_snapshot_ts,source_uri
BTCUSDT,core25_pinned,t,t,Trading,f,f,Trading,2020-03-15 01:00:00+01,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,1.9252283e+09,73667.7,BTC,USDT,LinearPerpetual,0.10,0.001,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
ETHUSDT,core25_pinned,t,t,Trading,f,f,Trading,2021-03-15 01:00:00+01,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,1.150306e+09,2002.82,ETH,USDT,LinearPerpetual,0.01,0.01,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
SOLUSDT,core25_pinned,t,t,Trading,f,f,Trading,2021-10-15 02:00:00+02,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,2.6413291e+08,81.77,SOL,USDT,LinearPerpetual,0.010,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
XRPUSDT,core25_pinned,t,t,Trading,f,f,Trading,2021-05-13 11:34:00+02,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,1.7589443e+08,1.3284,XRP,USDT,LinearPerpetual,0.0001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
DOGEUSDT,core25_pinned,t,t,Trading,f,f,Trading,2021-06-02 12:44:00+02,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,5.7599584e+07,0.09966,DOGE,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
ADAUSDT,core25_pinned,t,t,Trading,f,f,Trading,2021-01-15 01:00:00+01,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,4.6800024e+07,0.2334,ADA,USDT,LinearPerpetual,0.0001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
AVAXUSDT,core25_pinned,t,t,Trading,f,f,Trading,2021-09-15 02:00:00+02,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,1.8335612e+07,8.865,AVAX,USDT,LinearPerpetual,0.001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
LINKUSDT,core25_pinned,t,t,Trading,f,f,Trading,2018-01-01 01:00:00+01,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,3.805662e+07,9.073,LINK,USDT,LinearPerpetual,0.001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
DOTUSDT,core25_pinned,t,t,Trading,f,f,Trading,2021-03-18 10:34:00+01,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,2.157505e+07,1.1689,DOT,USDT,LinearPerpetual,0.0001,0.1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
POLUSDT,core25_pinned,t,t,Trading,f,f,Trading,2024-09-05 10:30:13+02,,2026-05-07 01:17:48.12092+02,2026-05-31 22:20:01.363662+02,2024-11-30 22:38:06.420089+01,2026-05-31 22:38:06.420089+02,546.958,3.0849778e+06,0.09172,POL,USDT,LinearPerpetual,0.00001,1,5,2026-05-31 22:20:01.363662+02,bybit-public://v5/market/instruments-info?category=linear&status=Trading
